trialID,Participant,isPractice,LayoutBlockNum,ConditionBlockNum,TrialNum,LayoutType,Condition,TargetType,PairCount,SelfRotation,RotateDirection,DecoyAmount,CurrentDecoy,RotationAmount,Baseline,Testing,DecoyBaseline,DecoyTesting,BeginTime,EndTime,ResponsePos_X,ResponsePos_Y,ResponsePos_Z,AnsPos_X,AnsPos_Y,AnsPos_Z,TargetName,ControllerPos_X,ControllerPos_Y,ControllerPoss_Z
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,0,rotate,1,2,0,40,False,False,True,False,32.581510,34.078870,0.744682,0.000000,2.278873,0.596642,0.000000,2.473319,Stripes Decoy Target,0.135391,0.921877,0.384749
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,1,rotate,1,2,0,40,False,False,True,False,34.078870,35.191630,0.700310,0.000000,1.330628,0.711773,0.000000,1.357193,Dotted Decoy Target,0.169185,0.867228,0.322499
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,0,rotate,1,2,0,40,False,False,False,True,40.205440,41.664910,0.812911,0.000000,1.368422,0.711773,0.000000,1.357193,Dotted Decoy Target,0.109970,0.874030,0.236142
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,1,rotate,1,2,0,40,False,False,False,True,41.664910,42.511780,0.635200,0.000000,2.378414,0.596642,0.000000,2.473319,Stripes Decoy Target,0.060183,0.939774,0.317623
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,0,rotate,1,2,1,80,False,False,True,False,59.524240,60.718460,2.392542,0.000000,1.563512,2.292269,0.000000,1.619299,Dotted Decoy Target,0.234893,0.932593,0.238930
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,1,rotate,1,2,1,80,False,False,True,False,60.718460,61.732670,0.345740,0.000000,1.785980,0.165432,0.000000,1.635738,Stripes Decoy Target,0.055164,0.933543,0.274624
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,0,rotate,1,2,1,80,False,False,False,True,66.744090,68.246020,1.931911,0.000000,1.478050,2.292269,0.000000,1.619299,Dotted Decoy Target,0.174365,0.979316,0.170659
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,1,rotate,1,2,1,80,False,False,False,True,68.246020,69.051500,0.301578,0.000000,1.691570,0.165432,0.000000,1.635738,Stripes Decoy Target,0.052829,0.971255,0.236624
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,0,rotate,1,2,0,40,False,True,False,False,74.065060,76.677280,-0.672206,0.000000,1.428544,-0.903165,0.000000,1.306199,Blue Virtual Target,-0.087583,0.980561,0.305138
P1002,4,True,0,1,0,D,virtualRotate,virtualTarget,1,rotate,1,2,0,40,False,True,False,False,76.677280,77.995090,1.380550,0.000000,3.217781,0.198330,0.000000,3.454432,Green Virtual Target,0.156277,1.080774,0.402940
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,0,rotate,0,3,0,80,True,False,False,False,12.013440,14.207810,-0.124148,0.000000,1.558523,-0.259105,0.000000,1.608174,Blue Virtual Target,-0.003153,0.884838,0.348370
