trialID,Participant,LayoutBlockNum,ConditionBlockNum,TrialNum,LayoutType,Condition,TargetType,PairCount,SelfRotation,RotateDirection,DecoyAmount,CurrentDecoy,RotationAmount,Baseline,Testing,DecoyBaseline,DecoyTesting,BeginTime,EndTime,ResponsePos_X,ResponsePos_Y,ResponsePos_Z,AnsPos_X,AnsPos_Y,AnsPos_Z,TargetName,ControllerPos_X,ControllerPos_Y,ControllerPoss_Z
P1,1,0,0,1,B,virtualStatic,virtualTarget,0,none,-1,3,2,0,False,False,True,False,81.315730,82.273910,1.178665,0.000000,3.223574,0.866954,0.000000,3.081734,Stripes Decoy Target,0.031109,0.676007,0.077438
P1,1,0,0,1,B,virtualStatic,virtualTarget,1,none,-1,3,2,0,False,False,True,False,82.273910,82.982760,0.044030,0.000000,2.160299,0.074432,0.000000,2.328507,Dotted Decoy Target,-0.002301,0.666968,0.071514
P1,1,0,0,1,B,virtualStatic,virtualTarget,0,none,-1,3,2,0,False,False,False,True,87.996400,88.953930,0.021037,0.000000,1.834011,0.074432,0.000000,2.328507,Dotted Decoy Target,0.001568,0.660671,0.075707
P1,1,0,0,1,B,virtualStatic,virtualTarget,1,none,-1,3,2,0,False,False,False,True,88.953930,89.468530,0.959588,0.000000,3.430771,0.866954,0.000000,3.081734,Stripes Decoy Target,0.026818,0.675839,0.077188
P1,1,0,0,1,B,virtualStatic,virtualTarget,0,none,-1,3,0,0,False,True,False,False,94.481920,95.620740,-0.103388,0.000000,1.966694,-0.112902,0.000000,2.245102,Blue Virtual Target,-0.009062,0.660172,0.069894
P1,1,0,0,1,B,virtualStatic,virtualTarget,1,none,-1,3,0,0,False,True,False,False,95.620740,96.287500,-0.217585,0.000000,0.872418,-0.236257,0.000000,0.991236,Green Virtual Target,-0.026184,0.635621,0.061111
P1,2,0,0,2,B,physicalStatic,physicalTarget,0,none,-1,3,0,0,True,False,False,False,12.013240,13.152140,-0.719453,0.000000,1.674675,-0.800000,0.000000,1.450000,Blue Physical Target,-0.021968,0.663272,0.059623
P1,2,0,0,2,B,physicalStatic,physicalTarget,1,none,-1,3,0,0,True,False,False,False,13.152140,13.749180,0.539739,0.000000,1.126873,0.800000,0.000000,0.950000,Green Physical Target,0.043728,0.656437,0.062736
P1,2,0,0,2,B,physicalStatic,physicalTarget,0,none,-1,3,0,0,False,False,True,False,30.762150,31.678840,0.277523,0.000000,1.087296,0.277696,0.000000,1.063895,Dotted Decoy Target,0.001387,0.641965,0.082808
P1,2,0,0,2,B,physicalStatic,physicalTarget,1,none,-1,3,0,0,False,False,True,False,31.678840,32.471010,-0.541675,0.000000,2.073455,-0.535500,0.000000,2.124274,Stripes Decoy Target,-0.024818,0.666628,0.065685
